1531146154 INTERNAL *** MONITORD_STARTED ***
1531146153 INTERNAL *** DAGMAN_STARTED 815.0 ***
1531146157 create_dir_wrangling_0_local SUBMIT 816.0 local - 1
1531146162 create_dir_wrangling_0_local EXECUTE 816.0 local - 1
1531146162 create_dir_wrangling_0_local JOB_TERMINATED 816.0 local - 1
1531146162 create_dir_wrangling_0_local JOB_SUCCESS 0 local - 1
1531146162 create_dir_wrangling_0_local POST_SCRIPT_STARTED 816.0 local - 1
1531146167 create_dir_wrangling_0_local POST_SCRIPT_TERMINATED 816.0 local - 1
1531146167 create_dir_wrangling_0_local POST_SCRIPT_SUCCESS 0 local - 1
1531146172 svn0_ID0000000 SUBMIT 817.0 condorpool - 2
1531146177 svn0_ID0000000 EXECUTE 817.0 condorpool - 2
1531146177 svn0_ID0000000 JOB_TERMINATED 817.0 condorpool - 2
1531146177 svn0_ID0000000 JOB_SUCCESS 0 condorpool - 2
1531146177 svn0_ID0000000 POST_SCRIPT_STARTED 817.0 condorpool - 2
1531146182 svn0_ID0000000 POST_SCRIPT_TERMINATED 817.0 condorpool - 2
1531146182 svn0_ID0000000 POST_SCRIPT_SUCCESS 0 condorpool - 2
1531146187 filter1_ID0000002 SUBMIT 818.0 condorpool - 3
1531146187 stage_out_local_local_0_0 SUBMIT 819.0 local - 4
1531146187 filter1_ID0000001 SUBMIT 820.0 condorpool - 5
1531146192 stage_out_local_local_0_0 EXECUTE 819.0 local - 4
1531146192 filter1_ID0000002 EXECUTE 818.0 condorpool - 3
1531146192 filter1_ID0000002 JOB_TERMINATED 818.0 condorpool - 3
1531146192 filter1_ID0000002 JOB_SUCCESS 0 condorpool - 3
1531146192 filter1_ID0000002 POST_SCRIPT_STARTED 818.0 condorpool - 3
1531146192 filter1_ID0000001 EXECUTE 820.0 condorpool - 5
1531146192 stage_out_local_local_0_0 JOB_TERMINATED 819.0 local - 4
1531146192 stage_out_local_local_0_0 JOB_SUCCESS 0 local - 4
1531146192 stage_out_local_local_0_0 POST_SCRIPT_STARTED 819.0 local - 4
1531146192 filter1_ID0000001 JOB_TERMINATED 820.0 condorpool - 5
1531146192 filter1_ID0000001 JOB_SUCCESS 0 condorpool - 5
1531146192 filter1_ID0000001 POST_SCRIPT_STARTED 820.0 condorpool - 5
1531146197 filter1_ID0000002 POST_SCRIPT_TERMINATED 818.0 condorpool - 3
1531146197 filter1_ID0000002 POST_SCRIPT_SUCCESS 0 condorpool - 3
1531146197 stage_out_local_local_0_0 POST_SCRIPT_TERMINATED 819.0 local - 4
1531146197 stage_out_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 4
1531146197 filter1_ID0000001 POST_SCRIPT_TERMINATED 820.0 condorpool - 5
1531146197 filter1_ID0000001 POST_SCRIPT_SUCCESS 0 condorpool - 5
1531146202 separate2_ID0000004 SUBMIT 821.0 condorpool - 6
1531146202 register_local_0_0 SUBMIT 822.0 local - 7
1531146202 separate2_ID0000003 SUBMIT 823.0 condorpool - 8
1531146202 register_local_0_0 EXECUTE 822.0 local - 7
1531146207 separate2_ID0000004 EXECUTE 821.0 condorpool - 6
1531146207 register_local_0_0 JOB_TERMINATED 822.0 local - 7
1531146207 register_local_0_0 JOB_SUCCESS 0 local - 7
1531146207 register_local_0_0 POST_SCRIPT_STARTED 822.0 local - 7
1531146207 separate2_ID0000004 JOB_TERMINATED 821.0 condorpool - 6
1531146207 separate2_ID0000004 JOB_SUCCESS 0 condorpool - 6
1531146207 separate2_ID0000004 POST_SCRIPT_STARTED 821.0 condorpool - 6
1531146207 separate2_ID0000003 EXECUTE 823.0 condorpool - 8
1531146207 separate2_ID0000003 JOB_TERMINATED 823.0 condorpool - 8
1531146207 separate2_ID0000003 JOB_SUCCESS 0 condorpool - 8
1531146207 separate2_ID0000003 POST_SCRIPT_STARTED 823.0 condorpool - 8
1531146212 register_local_0_0 POST_SCRIPT_TERMINATED 822.0 local - 7
1531146212 register_local_0_0 POST_SCRIPT_SUCCESS 0 local - 7
1531146212 separate2_ID0000004 POST_SCRIPT_TERMINATED 821.0 condorpool - 6
1531146212 separate2_ID0000004 POST_SCRIPT_SUCCESS 0 condorpool - 6
1531146212 separate2_ID0000003 POST_SCRIPT_TERMINATED 823.0 condorpool - 8
1531146212 separate2_ID0000003 POST_SCRIPT_SUCCESS 0 condorpool - 8
1531146217 separate3_ID0000006 SUBMIT 824.0 condorpool - 9
1531146217 separate3_ID0000005 SUBMIT 825.0 condorpool - 10
1531146222 separate3_ID0000006 EXECUTE 824.0 condorpool - 9
1531146222 separate3_ID0000006 JOB_TERMINATED 824.0 condorpool - 9
1531146222 separate3_ID0000006 JOB_SUCCESS 0 condorpool - 9
1531146222 separate3_ID0000006 POST_SCRIPT_STARTED 824.0 condorpool - 9
1531146222 separate3_ID0000005 EXECUTE 825.0 condorpool - 10
1531146222 separate3_ID0000005 JOB_TERMINATED 825.0 condorpool - 10
1531146222 separate3_ID0000005 JOB_SUCCESS 0 condorpool - 10
1531146222 separate3_ID0000005 POST_SCRIPT_STARTED 825.0 condorpool - 10
1531146227 separate3_ID0000006 POST_SCRIPT_TERMINATED 824.0 condorpool - 9
1531146227 separate3_ID0000006 POST_SCRIPT_SUCCESS 0 condorpool - 9
1531146227 separate3_ID0000005 POST_SCRIPT_TERMINATED 825.0 condorpool - 10
1531146227 separate3_ID0000005 POST_SCRIPT_SUCCESS 0 condorpool - 10
1531146233 filter4_ID0000008 SUBMIT 826.0 condorpool - 11
1531146233 filter4_ID0000007 SUBMIT 827.0 condorpool - 12
1531146238 filter4_ID0000008 EXECUTE 826.0 condorpool - 11
1531146238 filter4_ID0000008 JOB_TERMINATED 826.0 condorpool - 11
1531146238 filter4_ID0000008 JOB_SUCCESS 0 condorpool - 11
1531146238 filter4_ID0000008 POST_SCRIPT_STARTED 826.0 condorpool - 11
1531146238 filter4_ID0000007 EXECUTE 827.0 condorpool - 12
1531146238 filter4_ID0000007 JOB_TERMINATED 827.0 condorpool - 12
1531146238 filter4_ID0000007 JOB_SUCCESS 0 condorpool - 12
1531146238 filter4_ID0000007 POST_SCRIPT_STARTED 827.0 condorpool - 12
1531146243 filter4_ID0000008 POST_SCRIPT_TERMINATED 826.0 condorpool - 11
1531146243 filter4_ID0000008 POST_SCRIPT_SUCCESS 0 condorpool - 11
1531146243 filter4_ID0000007 POST_SCRIPT_TERMINATED 827.0 condorpool - 12
1531146243 filter4_ID0000007 POST_SCRIPT_SUCCESS 0 condorpool - 12
1531146248 filter5_ID0000010 SUBMIT 828.0 condorpool - 13
1531146248 filter5_ID0000009 SUBMIT 829.0 condorpool - 14
1531146253 filter5_ID0000010 EXECUTE 828.0 condorpool - 13
1531146253 filter5_ID0000010 JOB_TERMINATED 828.0 condorpool - 13
1531146253 filter5_ID0000010 JOB_SUCCESS 0 condorpool - 13
1531146253 filter5_ID0000010 POST_SCRIPT_STARTED 828.0 condorpool - 13
1531146253 filter5_ID0000009 EXECUTE 829.0 condorpool - 14
