1530556762 INTERNAL *** MONITORD_STARTED ***
1530556761 INTERNAL *** DAGMAN_STARTED 696.0 ***
1530556765 create_dir_wrangling_0_local SUBMIT 697.0 local - 1
1530556770 create_dir_wrangling_0_local EXECUTE 697.0 local - 1
1530556770 create_dir_wrangling_0_local JOB_TERMINATED 697.0 local - 1
1530556770 create_dir_wrangling_0_local JOB_SUCCESS 0 local - 1
1530556770 create_dir_wrangling_0_local POST_SCRIPT_STARTED 697.0 local - 1
1530556775 create_dir_wrangling_0_local POST_SCRIPT_TERMINATED 697.0 local - 1
1530556775 create_dir_wrangling_0_local POST_SCRIPT_SUCCESS 0 local - 1
1530556781 svn_ID0000000 SUBMIT 698.0 condorpool - 2
1530556786 svn_ID0000000 EXECUTE 698.0 condorpool - 2
1530556786 svn_ID0000000 JOB_TERMINATED 698.0 condorpool - 2
1530556786 svn_ID0000000 JOB_SUCCESS 0 condorpool - 2
1530556786 svn_ID0000000 POST_SCRIPT_STARTED 698.0 condorpool - 2
1530556791 svn_ID0000000 POST_SCRIPT_TERMINATED 698.0 condorpool - 2
1530556791 svn_ID0000000 POST_SCRIPT_SUCCESS 0 condorpool - 2
1530556796 deselect_ID0000001 SUBMIT 699.0 condorpool - 3
1530556796 stage_out_local_local_0_0 SUBMIT 700.0 local - 4
1530556801 stage_out_local_local_0_0 EXECUTE 700.0 local - 4
1530556801 deselect_ID0000001 EXECUTE 699.0 condorpool - 3
1530556801 deselect_ID0000001 JOB_TERMINATED 699.0 condorpool - 3
1530556801 deselect_ID0000001 JOB_SUCCESS 0 condorpool - 3
1530556801 deselect_ID0000001 POST_SCRIPT_STARTED 699.0 condorpool - 3
1530556801 stage_out_local_local_0_0 JOB_TERMINATED 700.0 local - 4
1530556801 stage_out_local_local_0_0 JOB_SUCCESS 0 local - 4
1530556801 stage_out_local_local_0_0 POST_SCRIPT_STARTED 700.0 local - 4
1530556806 deselect_ID0000001 POST_SCRIPT_TERMINATED 699.0 condorpool - 3
1530556806 deselect_ID0000001 POST_SCRIPT_SUCCESS 0 condorpool - 3
1530556806 stage_out_local_local_0_0 POST_SCRIPT_TERMINATED 700.0 local - 4
1530556806 stage_out_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 4
1530556811 filterin_ID0000002 SUBMIT 701.0 condorpool - 5
1530556811 register_local_0_0 SUBMIT 702.0 local - 6
1530556816 register_local_0_0 EXECUTE 702.0 local - 6
1530556816 filterin_ID0000002 EXECUTE 701.0 condorpool - 5
1530556816 register_local_0_0 JOB_TERMINATED 702.0 local - 6
1530556816 register_local_0_0 JOB_SUCCESS 0 local - 6
1530556816 register_local_0_0 POST_SCRIPT_STARTED 702.0 local - 6
1530556816 filterin_ID0000002 JOB_TERMINATED 701.0 condorpool - 5
1530556816 filterin_ID0000002 JOB_SUCCESS 0 condorpool - 5
1530556816 filterin_ID0000002 POST_SCRIPT_STARTED 701.0 condorpool - 5
1530556821 register_local_0_0 POST_SCRIPT_TERMINATED 702.0 local - 6
1530556821 register_local_0_0 POST_SCRIPT_SUCCESS 0 local - 6
1530556821 filterin_ID0000002 POST_SCRIPT_TERMINATED 701.0 condorpool - 5
1530556821 filterin_ID0000002 POST_SCRIPT_SUCCESS 0 condorpool - 5
1530556826 separate2_ID0000003 SUBMIT 703.0 condorpool - 7
